,text
103,"We are grateful for businesses large & small for joining the fight against COVID-19 in GA. By manufacturing PPE, providing hand sanitizer, & offering support to hospitals & frontline workers, these hardworking Georgians are protecting lives & livelihoods."
104,"ICYMI: Tyler Perry, Georgia First Lady Marty Kemp team up for human trafficking awareness video #gapol"
105,"To keep GA moving in the right direction, we are asking folks to do ""4 Things for Fall"":
 Wear A Mask
 Watch Your Distance
 Wash Your Hands
 Follow/Enforce the Executive Order

Together, we will save lives, protect jobs, and ensure a better, brighter future for all."
106,"We continue to see progress in the fight against COVID-19:
 GA's percent positive of COVID-19 tests has dropped from 12.4% on Aug. 1 to 8.6%.
 Our 7-day average of new cases has dropped 35%.
 Hospitalizations have dropped 33% since the beginning of the month.

#gapol"
107,"There is evil around us. Thankfully, we have men & women in uniform who will risk it all to keep us safe. Today, they are rescuing children from trafficking. Tomorrow, they are putting violent criminals behind bars. These Georgians have earned our respect & deserve our support."
108,"Some wanted to quarantine the 
@Yankees
 for 14 days upon arrival. Glad we didn't. Go 
@Braves
! #ForTheA"
109,"As part of “Operation Not Forgotten”, federal and state law enforcement rescued 39 innocent children and put numerous criminals behind bars. This is another step forward in the fight to end sex trafficking and save lives in Georgia. #gapol"
110,"Proud of 
@GAFirstLady
 for her hard work and 
@tylerperry
 for his commitment to the cause. Together, we will end human trafficking in Georgia and ensure a safe & promising future for all survivors. #gapol"
111,Our prayers are with the people of Texas and Louisiana as they weather #HurricaneLaura2020. We also lift up the hardworking Georgians who are heading west to help with the response and recovery efforts. Stay safe! #gapol
112,"We are urging all Georgians to do ""4 Things for Fall"": Wear a mask, watch your distance, wash your hands, and follow the Executive Order. 

RT to spread the word. Together, we will protect people and paychecks in the Peach State! #gapol"
113,"Hardworking Georgians in every corner of our great state are doing their part to stop the spread of COVID-19. While encouraged by the data, we must remain vigilant in this fight. #gapol"
114,"These four things will require some sacrifice and grit. But these actions will protect people and paychecks. Together, we will defeat COVID-19 and a secure a safe, healthy, and prosperous future for our state."
115,"These are encouraging trends but we can’t let up now. Moving forward, I’m asking folks to do “4 Things for fall”:
 Wear a mask
 Practice social distancing
 Wash your hands regularly
 Follow the guidance of public health officials detailed in our Executive Orders."
116," Since July 26, we’ve seen our percent of positive tests for COVID-19 drop from 13.1% to 9.0%
 Our 7-day average of new cases has dropped by 30%.
 75% of our hospitals report having less COVID patients today than four weeks ago."
117,"Last month, we urged Georgians to do four things for four weeks to stop the spread of COVID-19. As expected, hardworking Georgians rose to the challenge and the data proves it. #gapol"
